사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202410,2호선,선릉,149,5,4735,6204,12314,46254,23974,123711,37283,280753,37038,210790,41939,103432,52515,70794,63704,65820,72328,74004,81058,59776,103311,55241,133870,54396,211662,59389,285600,61543,143680,39532,93818,24894,84653,22066,70009,18773,24877,11356,3998,4444,4,152,1,1,0,0,20241103
202410,2호선,성수,99,2,5661,4168,8903,35526,22496,73419,29514,246653,24699,159547,24273,105830,29395,99676,41193,100855,54827,106199,70615,102514,90337,100020,115749,94091,171554,91032,267950,89034,145894,50062,115829,25221,90420,18617,59174,15386,22779,11820,3406,6569,1,924,0,0,0,0,20241103
202410,2호선,시청,25,2,1087,1984,2589,22736,5339,71508,9480,219023,14968,95076,21842,38016,27287,36854,27014,36235,33229,41603,42346,37631,53595,31573,70851,26064,118466,27132,174229,25347,66282,13784,50806,9330,43284,8998,26936,7192,10141,4653,1223,1413,2,94,0,0,0,0,20241103
202410,2호선,신답,26,3,1298,126,2149,920,6211,893,10783,1965,4823,971,2833,1150,2360,1257,2424,1508,2230,1654,1967,2119,1920,2955,2335,3725,2282,5098,2149,9530,1148,6459,658,3765,549,3629,410,3138,176,1761,34,539,0,1,0,0,0,0,20241103
202410,2호선,신당,38,3,6425,1297,11654,7282,30541,15918,52773,31190,30824,23536,22279,20063,21406,22374,25051,23547,25109,24562,24483,24864,25622,28018,29726,33200,32032,43210,34680,59162,24057,38595,19512,25188,17940,22027,15963,20509,8246,12056,1505,3651,4,59,0,0,0,0,20241103
202410,2호선,신대방,382,11,26491,2081,36193,9831,90523,14832,132899,25292,84672,18770,49127,19067,40517,20177,40034,23731,37890,27937,32932,31383,32358,41959,33622,49495,34442,65999,32321,94518,21035,79968,16175,57421,13033,59648,10394,55252,5172,32254,1013,8912,12,327,0,0,0,0,20241103
202410,2호선,신도림,5031,18,41038,5763,54154,22415,137209,45907,150627,109529,95932,75537,67973,67037,66021,70047,75295,71128,79477,73749,78749,72656,85109,81753,90374,96834,109833,124496,126027,176730,76819,124505,69559,79146,57693,73695,46200,68906,22904,48106,2606,21098,10,2399,0,0,0,0,20241103
202410,2호선,신림,226,11,40257,4281,70319,17626,180549,28564,267240,45090,168111,44604,97808,42999,81362,48359,86101,52758,81778,60378,74934,64631,72096,83968,76485,106062,79427,138704,80159,225088,55210,191647,46603,129585,42972,123711,36562,113228,21119,72132,4324,22615,6,601,0,0,0,0,20241103
202410,2호선,신설동,37,1,1243,336,1583,2520,5091,4945,8922,12186,5888,8944,5362,8199,6333,7688,8058,7800,8503,8025,9247,7047,9849,6117,10468,5498,11694,6098,11949,7657,4509,5240,2894,3967,2772,3635,1741,3351,676,2146,143,832,1,138,0,0,0,0,20241103
202410,2호선,신정네거리,88,2,9180,973,17733,2838,49317,4650,46490,11591,27176,8612,19179,8015,17083,9267,17354,11012,15582,12088,13003,13780,12256,18517,13087,23890,12887,32476,11526,50021,7071,35838,5400,20918,4571,19214,3397,16517,1616,10315,292,2598,0,179,0,0,0,0,20241103
202410,2호선,신촌,83,11,7111,3009,15103,17905,37420,38722,56081,90251,44320,99585,44549,76438,54291,71993,63298,73577,67977,77633,70280,68651,78447,64993,98804,71500,108294,91477,104969,118158,72203,79921,75575,50922,78497,45788,75611,39193,32998,26431,5832,6798,7,155,0,0,0,0,20241103
202410,2호선,아현,31,2,5109,905,11344,4767,31166,11782,42542,22818,26943,14662,19496,13063,18759,11525,19926,13060,18556,15045,17071,16105,18225,18026,23343,20928,21543,26762,21749,35191,13812,25726,10142,18139,7744,16931,5751,15269,2463,9226,429,2565,1,91,0,1,0,0,20241103
202410,2호선,양천구청,34,1,5302,914,12575,2622,32309,5245,30812,9696,18464,5649,13399,4923,12149,5527,12095,7089,10723,8358,8331,9329,8162,12395,9120,15498,9379,21606,8799,30903,4326,24377,2997,14827,2636,13766,2231,11202,735,7640,146,2249,0,53,0,0,0,0,20241103
202410,2호선,역삼,30,1,3804,6954,9619,45524,16702,155128,27302,364763,25706,294842,27510,122766,35752,66496,43145,61275,50955,68031,61137,53142,81466,46667,108371,45038,226857,54028,268093,59044,148152,37626,84769,24396,76191,20511,49342,16898,18597,10555,3315,3233,2,62,0,0,0,0,20241103
202410,2호선,영등포구청,39,0,5387,4095,13724,17967,40240,39052,51623,121037,32994,52712,25198,29715,26945,27391,30168,28349,30535,30829,32276,28384,35497,29663,41320,34253,59998,42451,99393,59924,37984,39695,29204,25067,26269,22379,19216,19661,8833,13432,1480,4626,1,204,0,0,0,0,20241103
202410,2호선,왕십리(성동구청),769,5,6790,986,10306,8808,25881,13535,45588,27590,29592,20516,21219,17247,21156,18001,24480,18992,24908,21240,24122,21671,27468,23424,33227,27483,35617,38064,35614,56163,25261,34612,23688,23129,25255,21095,23866,19837,14116,13005,2655,4738,3,54,0,0,0,0,20241103
202410,2호선,용답,18,1,2489,366,3641,1228,8644,2008,13676,3835,8121,4684,5963,3496,5122,2986,5711,3469,5184,4193,4733,4019,4739,4912,6070,6707,6004,7868,4823,11301,2756,7880,2156,5750,1645,6753,1212,5875,681,3649,155,1054,0,0,0,0,0,0,20241103
202410,2호선,용두(동대문구청),56,0,1205,110,1884,1007,5717,2708,9353,5741,5239,4107,4266,4232,4362,4187,4852,4211,5026,4720,5407,4567,5401,5042,5917,5132,5375,5976,5494,8976,2712,5807,1921,3886,1787,3331,889,2401,403,1415,54,502,0,6,0,0,0,0,20241103
202410,2호선,을지로3가,10,0,1286,2554,2873,22651,6930,69211,13735,166258,19631,71791,23483,35800,25941,31113,27139,29456,30367,32066,35384,28757,40795,28869,51778,33695,94475,38968,136753,45188,59103,29117,44954,18241,47095,15689,39745,12345,22419,8118,3798,2023,10,87,0,1,0,0,20241103
