,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,Station,Line,Connection,Longitude,Latitude
22,202408,1호선,서울역,638,20,8351,8709,13572,53281,38697,113531,68355,235070,64821,151997,64572,85484,81815,79164,96003,86439,89789,84043,79364,74177,104465,79078,115910,80976,184842,90512,225876,93903,114741,64005,84567,45334,87204,40846,54620,27965,26566,12715,2750,3805,0,195,0,0,0,0,20240903,서울역,1호선,소요산-용산,126.972559,37.554648
23,202407,1호선,서울역,589,18,8057,9031,13979,55919,42093,124856,74047,262620,66402,164049,63254,86988,79328,78916,94775,85265,90078,82708,80189,72995,104338,78621,118717,81581,197775,91581,245454,94949,122252,63098,85070,45334,87900,40261,54718,28535,25973,13125,2894,3784,1,242,0,0,0,0,20240803,서울역,1호선,소요산-용산,126.972559,37.554648
24,202406,1호선,서울역,654,20,8727,9083,13812,56637,40205,115372,68945,224224,68501,148949,64033,84806,80465,78221,92965,85212,90511,83798,76623,77626,102529,83324,117095,84550,177388,92535,213330,92134,117088,65163,83718,48189,88671,43936,57325,28721,27544,13883,2863,3984,3,215,0,0,0,0,20240703,서울역,1호선,소요산-용산,126.972559,37.554648
25,202405,1호선,서울역,712,15,8896,9542,14747,61682,43154,122280,76947,244016,74384,161393,67979,91521,86138,83700,97858,90821,95653,90512,82610,85666,110055,91115,123156,91685,192593,100339,231249,102586,127756,72734,91062,53023,94433,49173,62106,33456,30783,16695,3655,4788,0,282,0,0,0,0,20240603,서울역,1호선,소요산-용산,126.972559,37.554648
26,202404,1호선,서울역,658,24,8560,9158,14541,62765,43682,121498,75625,247481,69569,165780,64964,89882,83579,79071,92596,85488,91583,85617,77942,77821,107061,80047,121232,85791,186861,97810,232292,97360,127623,68217,88686,49834,89528,45770,60579,30821,28952,14443,3203,3771,3,263,0,0,0,0,20240503,서울역,1호선,소요산-용산,126.972559,37.554648
27,202403,1호선,서울역,686,25,8354,8884,13709,59387,43653,115326,72903,238393,69830,161833,68795,91155,83865,81706,94365,88972,93899,88296,78565,82288,113373,86086,123522,90484,185280,101964,228062,97494,126128,71462,89851,50808,90852,45787,59033,31527,27169,15365,2922,3882,0,249,0,0,0,0,20240403,서울역,1호선,소요산-용산,126.972559,37.554648
28,202402,1호선,서울역,578,17,6983,7715,11521,49271,36199,100524,66412,217982,63451,149551,59035,80261,79340,72731,89802,84753,86383,83948,71818,74786,101659,80618,112825,83433,163772,93716,208996,90912,116789,66853,79939,46712,82535,41296,54738,26429,25736,12382,4115,3348,79,199,0,0,0,0,20240303,서울역,1호선,소요산-용산,126.972559,37.554648
29,202401,1호선,서울역,665,20,7969,7954,12987,52493,39529,112562,69082,245548,63325,161208,60608,80604,78577,73245,91070,83397,88752,81564,72409,74898,104154,79386,112945,83766,180315,94246,236739,94912,122939,65796,84189,44975,84747,38899,54796,24906,24657,12092,2476,3052,4,184,0,2,0,0,20240203,서울역,1호선,소요산-용산,126.972559,37.554648
30,202410,1호선,시청,84,1,2078,5753,4249,30299,8265,74509,11334,195324,15004,98041,18452,57341,24635,57924,27043,53398,35476,58643,47379,53107,64040,40680,86063,34233,112775,32004,166376,27233,68640,13765,60913,9798,51491,8905,30800,6197,10346,3775,506,979,1,41,0,0,0,0,20241103,시청,1호선,소요산-용산,126.977108,37.564718
31,202409,1호선,시청,65,3,1800,4431,3673,23517,7262,67801,10475,173966,13106,80967,15014,42243,20861,39769,22179,36001,28458,35185,35994,29815,46180,26546,56425,25240,85894,27193,139805,24317,58054,12749,51735,8537,44085,7961,26955,5604,9170,3687,497,970,3,42,0,0,0,0,20241003,시청,1호선,소요산-용산,126.977108,37.564718
32,202408,1호선,시청,51,4,1913,5068,3880,24339,7694,73013,11105,189820,13904,82174,16935,42170,22688,40610,23551,37707,27196,37263,35209,29855,46197,25937,55787,25617,90844,26457,155815,24277,58474,13098,51318,9236,45038,8885,27266,6169,8882,3760,458,976,2,31,0,0,0,0,20240903,시청,1호선,소요산-용산,126.977108,37.564718
33,202407,1호선,시청,56,2,2033,5401,3968,25679,7722,81256,10729,215798,13223,92116,15242,43568,21797,39353,23296,36747,28064,35596,34416,28404,44856,25745,56492,24985,99930,26559,174172,24880,64106,12172,55462,8947,47872,8205,29207,6332,9136,3610,505,982,0,16,0,0,0,0,20240803,시청,1호선,소요산-용산,126.977108,37.564718
34,202406,1호선,시청,74,0,2105,5374,4050,25949,7703,71550,10616,183563,12972,86971,14960,45561,20622,43620,23185,41428,30439,41071,37874,31530,48033,27954,59520,27055,91916,28354,150891,25133,60380,12478,55321,8931,49502,8402,30045,6340,10250,3898,502,991,1,38,0,0,0,0,20240703,시청,1호선,소요산-용산,126.977108,37.564718
35,202405,1호선,시청,106,2,2365,5549,4256,27042,8011,75120,11377,197173,14346,94923,17018,50196,23223,48653,25811,44538,33995,45588,42752,36086,57371,31280,66542,30176,100597,31406,162280,29184,65001,15501,60184,11419,56661,9962,34372,7292,11310,4696,623,1156,2,31,0,0,0,0,20240603,시청,1호선,소요산-용산,126.977108,37.564718
36,202404,1호선,시청,94,2,2321,5550,4123,26788,7965,76757,11415,204838,13882,94008,16811,50246,22260,45931,23951,41705,32711,41118,40644,32395,55315,28761,63996,27301,98807,28303,164218,26671,65574,13940,58650,10320,51328,8905,32067,6293,10700,4110,661,1172,3,40,1,0,0,0,20240503,시청,1호선,소요산-용산,126.977108,37.564718
37,202403,1호선,시청,90,2,2209,5148,4267,26852,8516,71999,12210,194812,15411,91814,17745,48252,23267,46793,24628,43140,32523,42457,42529,33888,54825,30331,66494,27634,97336,28587,160312,26166,65313,13916,56921,10505,49842,9299,30569,7361,10115,4609,588,1325,0,44,0,0,0,0,20240403,시청,1호선,소요산-용산,126.977108,37.564718
38,202402,1호선,시청,74,2,1878,4266,3581,20312,6851,62024,9187,179479,11931,82304,14383,40277,20112,38949,21223,36362,25540,36391,34407,30447,44080,27104,54335,24609,85236,25340,147779,22953,58563,12373,50725,9025,45007,7883,27101,5906,9335,3487,563,1003,8,40,0,0,0,0,20240303,시청,1호선,소요산-용산,126.977108,37.564718
39,202401,1호선,시청,65,0,2188,4984,3634,23116,7149,72316,9326,209070,11333,93796,13810,43553,20536,43305,22441,38816,27617,39711,36252,32999,47966,30649,57144,27607,95474,29343,175728,27185,67934,13524,59870,9055,53388,7713,31369,5346,10830,3222,635,986,0,20,0,0,0,0,20240203,시청,1호선,소요산-용산,126.977108,37.564718
40,202410,1호선,신설동,384,22,9813,2340,10345,10232,22756,26027,33583,55972,23917,33748,21082,22860,22973,21174,24475,20366,25969,21579,25278,20022,26979,22107,32246,24010,42902,27089,53797,32654,21330,23384,14593,16683,12472,16665,8783,14547,3887,9779,375,2781,0,1,0,1,0,0,20241103,신설동,1호선,소요산-용산,127.025087,37.575297
41,202409,1호선,신설동,297,23,8641,2224,9190,9017,20762,24146,29174,51143,20647,29551,19352,20417,20858,19087,22985,19052,23510,19472,22618,17888,24129,20008,28693,21087,38664,23754,47169,28665,19224,21136,13698,15078,11928,14732,8398,13000,3610,9071,367,2603,3,56,0,0,0,0,20241003,신설동,1호선,소요산-용산,127.025087,37.575297
